config,seed,graph_type,normalization,physical_scaling,running_normalization,substation_edges,substation_nodes,virtual_node,encoder,generator_direction,load_direction,line_direction,summary_direction,virtual_direction,timesteps
gs_s2_bus_n0_none_e0n0v0_s0.toml,0,bus,n0_none,False,False,False,False,False,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e0n0v0_s1.toml,1,bus,n0_none,False,False,False,False,False,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e0n0v0_s2.toml,2,bus,n0_none,False,False,False,False,False,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e0n0v1_s0.toml,0,bus,n0_none,False,False,False,False,True,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e0n0v1_s1.toml,1,bus,n0_none,False,False,False,False,True,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e0n0v1_s2.toml,2,bus,n0_none,False,False,False,False,True,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e0n1v0_s0.toml,0,bus,n0_none,False,False,False,True,False,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e0n1v0_s1.toml,1,bus,n0_none,False,False,False,True,False,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e0n1v0_s2.toml,2,bus,n0_none,False,False,False,True,False,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e0n1v1_s0.toml,0,bus,n0_none,False,False,False,True,True,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e0n1v1_s1.toml,1,bus,n0_none,False,False,False,True,True,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e0n1v1_s2.toml,2,bus,n0_none,False,False,False,True,True,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e1n0v0_s0.toml,0,bus,n0_none,False,False,True,False,False,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e1n0v0_s1.toml,1,bus,n0_none,False,False,True,False,False,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e1n0v0_s2.toml,2,bus,n0_none,False,False,True,False,False,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e1n0v1_s0.toml,0,bus,n0_none,False,False,True,False,True,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e1n0v1_s1.toml,1,bus,n0_none,False,False,True,False,True,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e1n0v1_s2.toml,2,bus,n0_none,False,False,True,False,True,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e1n1v0_s0.toml,0,bus,n0_none,False,False,True,True,False,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e1n1v0_s1.toml,1,bus,n0_none,False,False,True,True,False,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e1n1v0_s2.toml,2,bus,n0_none,False,False,True,True,False,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e1n1v1_s0.toml,0,bus,n0_none,False,False,True,True,True,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e1n1v1_s1.toml,1,bus,n0_none,False,False,True,True,True,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
gs_s2_bus_n0_none_e1n1v1_s2.toml,2,bus,n0_none,False,False,True,True,True,gine,bidirectional,bidirectional,bidirectional,bidirectional,toward_virtual,15000000
