run_name,pool,use_action_features,use_action0_head,seed,config_path
cas_hl_mean_f0_a0h0_s0,mean,false,false,0,configs/gnn_action_scoring/candidate_variants/cas_hl_mean_f0_a0h0_s0.toml
cas_hl_mean_f0_a0h0_s1,mean,false,false,1,configs/gnn_action_scoring/candidate_variants/cas_hl_mean_f0_a0h0_s1.toml
cas_hl_mean_f0_a0h0_s2,mean,false,false,2,configs/gnn_action_scoring/candidate_variants/cas_hl_mean_f0_a0h0_s2.toml
cas_hl_mean_f0_a0h1_s0,mean,false,true,0,configs/gnn_action_scoring/candidate_variants/cas_hl_mean_f0_a0h1_s0.toml
cas_hl_mean_f0_a0h1_s1,mean,false,true,1,configs/gnn_action_scoring/candidate_variants/cas_hl_mean_f0_a0h1_s1.toml
cas_hl_mean_f0_a0h1_s2,mean,false,true,2,configs/gnn_action_scoring/candidate_variants/cas_hl_mean_f0_a0h1_s2.toml
cas_hl_mean_f1_a0h0_s0,mean,true,false,0,configs/gnn_action_scoring/candidate_variants/cas_hl_mean_f1_a0h0_s0.toml
cas_hl_mean_f1_a0h0_s1,mean,true,false,1,configs/gnn_action_scoring/candidate_variants/cas_hl_mean_f1_a0h0_s1.toml
cas_hl_mean_f1_a0h0_s2,mean,true,false,2,configs/gnn_action_scoring/candidate_variants/cas_hl_mean_f1_a0h0_s2.toml
cas_hl_mean_f1_a0h1_s0,mean,true,true,0,configs/gnn_action_scoring/candidate_variants/cas_hl_mean_f1_a0h1_s0.toml
cas_hl_mean_f1_a0h1_s1,mean,true,true,1,configs/gnn_action_scoring/candidate_variants/cas_hl_mean_f1_a0h1_s1.toml
cas_hl_mean_f1_a0h1_s2,mean,true,true,2,configs/gnn_action_scoring/candidate_variants/cas_hl_mean_f1_a0h1_s2.toml
cas_hl_tmean_f0_a0h0_s0,typed_mean,false,false,0,configs/gnn_action_scoring/candidate_variants/cas_hl_tmean_f0_a0h0_s0.toml
cas_hl_tmean_f0_a0h0_s1,typed_mean,false,false,1,configs/gnn_action_scoring/candidate_variants/cas_hl_tmean_f0_a0h0_s1.toml
cas_hl_tmean_f0_a0h0_s2,typed_mean,false,false,2,configs/gnn_action_scoring/candidate_variants/cas_hl_tmean_f0_a0h0_s2.toml
cas_hl_tmean_f0_a0h1_s0,typed_mean,false,true,0,configs/gnn_action_scoring/candidate_variants/cas_hl_tmean_f0_a0h1_s0.toml
cas_hl_tmean_f0_a0h1_s1,typed_mean,false,true,1,configs/gnn_action_scoring/candidate_variants/cas_hl_tmean_f0_a0h1_s1.toml
cas_hl_tmean_f0_a0h1_s2,typed_mean,false,true,2,configs/gnn_action_scoring/candidate_variants/cas_hl_tmean_f0_a0h1_s2.toml
cas_hl_tmean_f1_a0h0_s0,typed_mean,true,false,0,configs/gnn_action_scoring/candidate_variants/cas_hl_tmean_f1_a0h0_s0.toml
cas_hl_tmean_f1_a0h0_s1,typed_mean,true,false,1,configs/gnn_action_scoring/candidate_variants/cas_hl_tmean_f1_a0h0_s1.toml
cas_hl_tmean_f1_a0h0_s2,typed_mean,true,false,2,configs/gnn_action_scoring/candidate_variants/cas_hl_tmean_f1_a0h0_s2.toml
cas_hl_tmean_f1_a0h1_s0,typed_mean,true,true,0,configs/gnn_action_scoring/candidate_variants/cas_hl_tmean_f1_a0h1_s0.toml
cas_hl_tmean_f1_a0h1_s1,typed_mean,true,true,1,configs/gnn_action_scoring/candidate_variants/cas_hl_tmean_f1_a0h1_s1.toml
cas_hl_tmean_f1_a0h1_s2,typed_mean,true,true,2,configs/gnn_action_scoring/candidate_variants/cas_hl_tmean_f1_a0h1_s2.toml
