config,seed,graph_type,normalization,substation_edges,substation_nodes,virtual_node,encoder,message_passing_layers,gnn_hidden_dim,gnn_out_dim,timesteps,source_baseline
gs_s3dw_bus_n0_none_e0n0v0_mp1_h16_s0.toml,0,bus,n0_none,False,False,False,gine,1,16,16,15000000,configs/gnn_graph_screening/stage2_structure/gs_s2_bus_n0_none_e0n0v0_s0.toml
gs_s3dw_bus_n0_none_e0n0v0_mp1_h16_s1.toml,1,bus,n0_none,False,False,False,gine,1,16,16,15000000,configs/gnn_graph_screening/stage2_structure/gs_s2_bus_n0_none_e0n0v0_s1.toml
gs_s3dw_bus_n0_none_e0n0v0_mp1_h16_s2.toml,2,bus,n0_none,False,False,False,gine,1,16,16,15000000,configs/gnn_graph_screening/stage2_structure/gs_s2_bus_n0_none_e0n0v0_s2.toml
gs_s3dw_bus_n0_none_e0n0v0_mp1_h32_s0.toml,0,bus,n0_none,False,False,False,gine,1,32,32,15000000,configs/gnn_graph_screening/stage2_structure/gs_s2_bus_n0_none_e0n0v0_s0.toml
gs_s3dw_bus_n0_none_e0n0v0_mp1_h32_s1.toml,1,bus,n0_none,False,False,False,gine,1,32,32,15000000,configs/gnn_graph_screening/stage2_structure/gs_s2_bus_n0_none_e0n0v0_s1.toml
gs_s3dw_bus_n0_none_e0n0v0_mp1_h32_s2.toml,2,bus,n0_none,False,False,False,gine,1,32,32,15000000,configs/gnn_graph_screening/stage2_structure/gs_s2_bus_n0_none_e0n0v0_s2.toml
gs_s3dw_bus_n0_none_e0n0v0_mp1_h64_s0.toml,0,bus,n0_none,False,False,False,gine,1,64,64,15000000,configs/gnn_graph_screening/stage2_structure/gs_s2_bus_n0_none_e0n0v0_s0.toml
gs_s3dw_bus_n0_none_e0n0v0_mp1_h64_s1.toml,1,bus,n0_none,False,False,False,gine,1,64,64,15000000,configs/gnn_graph_screening/stage2_structure/gs_s2_bus_n0_none_e0n0v0_s1.toml
gs_s3dw_bus_n0_none_e0n0v0_mp1_h64_s2.toml,2,bus,n0_none,False,False,False,gine,1,64,64,15000000,configs/gnn_graph_screening/stage2_structure/gs_s2_bus_n0_none_e0n0v0_s2.toml
gs_s3dw_bus_n0_none_e0n0v0_mp1_h128_s0.toml,0,bus,n0_none,False,False,False,gine,1,128,128,15000000,configs/gnn_graph_screening/stage2_structure/gs_s2_bus_n0_none_e0n0v0_s0.toml
gs_s3dw_bus_n0_none_e0n0v0_mp1_h128_s1.toml,1,bus,n0_none,False,False,False,gine,1,128,128,15000000,configs/gnn_graph_screening/stage2_structure/gs_s2_bus_n0_none_e0n0v0_s1.toml
gs_s3dw_bus_n0_none_e0n0v0_mp1_h128_s2.toml,2,bus,n0_none,False,False,False,gine,1,128,128,15000000,configs/gnn_graph_screening/stage2_structure/gs_s2_bus_n0_none_e0n0v0_s2.toml
gs_s3dw_bus_n0_none_e0n0v0_mp2_h16_s0.toml,0,bus,n0_none,False,False,False,gine,2,16,16,15000000,configs/gnn_graph_screening/stage2_structure/gs_s2_bus_n0_none_e0n0v0_s0.toml
